Team,,Payer Information,,,Technician Certifications,,,,,Telehealth,,,,,,Direct/Indirect,,,,BCaBA Allowances,,,Group Therapy Size Specifications,,,Miscellaneous Payer Rules,,
Assigned,Payer Name,Division,Regional Coverage,Payer Type,RBT Required?,RBT Grace Period,ABAT Allowed,BCAT Allowed,Pay Premium,97151,97155,97156,Audio Only 97156 Allowed?,Audio Only Modifier,Tele Psych Testing,Allows Direct 97155 w/o Tech,Allows Indirect 97155,% of Supervision,Concurrent Billing 97153 and 97155,97151,97155,97156,97154,97157,97158,Notes,EDI Number,Claims Address
Caleb/Catie,Optum - Surest - Private,Centrality Behavior Support Training,State,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Caleb/Catie,Optum - Indiana - Private,Centrality Behavior Support Training,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Caleb/Catie,Aetna - Indiana - Private,Centrality Behavior Support Training,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Caleb/Catie,MDWise - Hoosier Healthwise - Indiana - Medicaid,Centrality Behavior Support Training,State,Medicaid,Yes,No,No,No,No,No,Yes,Yes,No,N/A,No,Yes,No,N/A,Yes,,,,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,Cigna Evernorth - Priority Health - Private,Centria Autism Services-California,State,Private,Yes,No,No,No,No,Yes,Yes,Yes,No,N/A,No,Yes,Yes,20%,Yes,No,No,No,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,HealthNet - California - Medi-Cal,Centria Autism Services-California,County,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,,Yes,No,N/A,,,,,,,,,,
Caleb/Catie,Healthnet - California - Private,Centria Autism Services-California,National,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,,,,,,,,,,,,,,
Caleb/Catie,BHS - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,N/A,Yes,Yes,20%,Yes,No,No,No,,,,,,
Caleb/Catie,Optum - California - Private,Centria Autism Services-California,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Caleb/Catie,Magellan - California - Private,Centria Autism Services-California,National,Private,Yes,No,Yes,No,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,,,,,,,,Approval for Tele Psych Testing is temporary,,
Caleb/Catie,Alameda Alliance - California - Medi-Cal,Centria Autism Services-California,County,Medicaid,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,93,Yes,Yes,No,N/A,,,,,,,,,,
Caleb/Catie,Regence Self Funded Plan - Oregon - Private,Centria Autism Services-Oregon,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,Yes,No,N/A,,No,No,No,,,,,,
Caleb/Catie,Aetna - California - Private,Centria Autism Services-California,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Caleb/Catie,Physician Health Plan - Michigan - Private,Centria Autism Services-Michigan,State,Private,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,PacificSource - Oregon - Private,Centria Autism Services-Oregon,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,Yes,No,N/A,Yes,No,No,No,,,,,,
Caleb/Catie,Optum - Indiana - Medicaid,Centrality Behavior Support Training,State,Medicaid,Yes,No,No,No,No,No,Yes,Yes,No,N/A,No,Yes,No,N/A,,,,,,,,Only 90791 allowed via telehealth,,
Caleb/Catie,Aetna Meritain - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Caleb/Catie,Auxiant - Cofinity - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,,,
Caleb/Catie,Insight Benefit Administrators - Cofinity - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,,,
Caleb/Catie,Woodlands - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Washtenaw - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Tuscola - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Trustmark - Cofinity - Michigan - Private,Centria Autism Services-Michigan,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,,,
Caleb/Catie,Summit Pointe - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Pines - Michigan - Medicaid,Centria Autism Services-Michigan,County,Medicaid,No,No,Yes,Yes,No,No,Yes,Yes,No,N/A,Yes,,,20%,Yes,Yes,Yes,Yes,Max of 8,Max of 8,Max of 8,,,
Caleb/Catie,Molina - California - Private,Centria Autism Services-California,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Caleb/Catie,MODA - Oregon - Private,Centria Autism Services-Oregon,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,,Yes,No,N/A,,No,No,No,,,,,,
Caleb/Catie,MHS - Healthy Indiana - Indiana - Medicaid,Centrality Behavior Support Training,State,Medicaid,Yes,No,No,No,No,No,Yes,Yes,No,N/A,No,Yes,No,N/A,,,,,,,,Only 90791 allowed via telehealth,,
